ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Note
Nukini-47_fishnoun-1,,Nukini,47_fishnoun,naʂtu,naʂtu,n a ʂ t u,,aguiar2004,419,,,,0,n a ʂ t u,fish,
Nukini-47_fishnoun-2,,Nukini,47_fishnoun,kawa,kawa,k a w a,,aguiar2004,415,,,,0,↓k/w a ↓w/k a,river,
Poyanawa-47_fishnoun-1,,Poyanawa,47_fishnoun,jumã,jumã,j u m ã,,paula1992,412,,,,0,j u m ã,fish/juma,
Iskonawa-47_fishnoun-1,,Iskonawa,47_fishnoun,juma,juma,j u m a,,zariquiey2017,412,,,,0,j u m a,fish/juma,
Chakobo-47_fishnoun-1,,Chakobo,47_fishnoun,yapa,yapa,j a p a,,zingg1998,357,,,,0,j a p a,fish/japa,
Pakawara-47_fishnoun-1,,Pakawara,47_fishnoun,saninu,saninu,s a n i + n u,,key2000,420,,,,0,s a n i + n u,fish/saninu,
Kakataibo-47_fishnoun-1,,Kakataibo,47_fishnoun,ɲapa,tsatsa,ts a ts a,,zariquiey2017,1627,,,,0,ts a ts a,boquichico,
Kaxarari-47_fishnoun-1,,Kaxarari,47_fishnoun,mailu,mailu,m a j l u,,couto2005,417,,,,0,m a i l u,fish,
Mastanawa-47_fishnoun-1,,Mastanawa,47_fishnoun,ʃima,ʃima,ʃ i m a,,zariquiey2017,413,,,,0,ʃ i m a,fish/ʃima,
Chaninawa-47_fishnoun-1,,Chaninawa,47_fishnoun,ʃima,ʃima,ʃ i m a,,zariquiey2017,413,,,,0,ʃ i m a,fish/ʃima,
Chaninawa-47_fishnoun-2,,Chaninawa,47_fishnoun,βaka,βaka,β a k a,,zariquiey2017,415,,,,0,β a k a,river,
Sharanawa-47_fishnoun-1,,Sharanawa,47_fishnoun,ʃima,ʃima,ʃ i m a,,zariquiey2017,413,,,,0,ʃ i m a,fish/ʃima,
Amawaka-47_fishnoun-1,,Amawaka,47_fishnoun,jumba,jumba,j u mb a,,zariquiey2017,412,,,,0,j u mb a,fish/juma,
Nawa-47_fishnoun-1,,Nawa,47_fishnoun,ʃima,ʃima,ʃ i m a,,zariquiey2017,413,,,,0,ʃ i m a,fish/ʃima,
Marinawa-47_fishnoun-1,,Marinawa,47_fishnoun,ʃima,ʃima,ʃ i m a,,zariquiey2017,413,,,,0,ʃ i m a,fish/ʃima,
Yaminawa-47_fishnoun-1,,Yaminawa,47_fishnoun,huwɨ,huwɨ,h u w ɨ,,zariquiey2017,422,,,,0,h u w ɨ,fish/huwɨ,
Kashinawa_P-47_fishnoun-1,,Kashinawa_P,47_fishnoun,βaka,βaka,β a k a,,zariquiey2017,415,,,,0,β a k a,river,
Kashinawa_B-47_fishnoun-1,,Kashinawa_B,47_fishnoun,βaka,βaka,β a k a,,camargo1995,415,,,,0,β a k a,river,
Matses-83_louse-1,,Matses,83_louse,matiʃ,matiʃ,m a t i ʃ,,fleck2005,727,,,,0,m a t i ʃ,flea,
Matis-83_louse-1,,Matis,83_louse,tʃa,tʃa,tʃ a,,fleck2005,726,,,,0,tʃ a,louse,
Marubo-83_louse-1,,Marubo,83_louse,ja,ja,j a,,fleck2005,724,,,,0,- - j a,louse,
Katukina-83_louse-1,,Katukina,83_louse,ia,ia,i a,,aguiar1994,724,,,,0,- i - a,louse,
Shipibo_Konibo-83_louse-1,,Shipibo_Konibo,83_louse,ia,ia,i a,,fleck2005,724,,,,0,- i - a,louse,
Kapanawa-83_louse-1,,Kapanawa,83_louse,ia,ia,i a,,loos1998,724,,,,0,- i - a,louse,
Arara-83_louse-1,,Arara,83_louse,ia,ia,i a,,cunha1993,724,,,,0,- i - a,louse,
Shanenawa-83_louse-1,,Shanenawa,83_louse,ia,ia,i a,,lanes2005,724,,,,0,- i - a,louse,
Yawanawa-83_louse-1,,Yawanawa,83_louse,ia,ia,i a,,paula1992,724,,,,0,- i - a,louse,
Nukini-83_louse-1,,Nukini,83_louse,ia,ia,i a,,aguiar2004,724,,,,0,- i - a,louse,
Poyanawa-83_louse-1,,Poyanawa,83_louse,ia,ia,i a,,paula1992,724,,,,0,- i - a,louse,
Iskonawa-83_louse-1,,Iskonawa,83_louse,ia,ia,i a,,zariquiey2017,724,,,,0,- i - a,louse,
Chakobo-83_louse-1,,Chakobo,83_louse,ia,ia,i a,,zingg1998,724,,,,0,- i - a,louse,
Pakawara-83_louse-1,,Pakawara,83_louse,ia,ia,i a,,key2000,724,,,,0,- i - a,louse,
Kakataibo-83_louse-1,,Kakataibo,83_louse,?ia,ʔia,ʔ i a,,zariquiey2017,724,,,,0,ʔ i - a,louse,
Kaxarari-83_louse-1,,Kaxarari,83_louse,iya,iya,i j a,,couto2005,724,,,,0,- i j a,louse,
Mastanawa-83_louse-1,,Mastanawa,83_louse,ija,ija,i j a,,zariquiey2017,724,,,,0,- i j a,louse,
Chaninawa-83_louse-1,,Chaninawa,83_louse,ija,ija,i j a,,zariquiey2017,724,,,,0,- i j a,louse,
Sharanawa-83_louse-1,,Sharanawa,83_louse,i:a,i:a,i j a,,zariquiey2017,724,,,,0,- i j a,louse,
Amawaka-83_louse-1,,Amawaka,83_louse,inja,inja,i j a,,zariquiey2017,724,,,,0,- i j a,louse,
Nawa-83_louse-1,,Nawa,83_louse,ija,ija,i j a,,zariquiey2017,724,,,,0,- i j a,louse,
Marinawa-83_louse-1,,Marinawa,83_louse,ija,ija,i j a,,zariquiey2017,724,,,,0,- i j a,louse,
Yaminawa-83_louse-1,,Yaminawa,83_louse,ija,ija,i j a,,zariquiey2017,724,,,,0,- i j a,louse,
Kashinawa_P-83_louse-1,,Kashinawa_P,83_louse,ia,ia,i a,,zariquiey2017,724,,,,0,- i - a,louse,
Kashinawa_B-83_louse-1,,Kashinawa_B,83_louse,ia,ia,i a,,camargo1995,724,,,,0,- i - a,louse,
