item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
treeLikelihood.sew                       -23.8940 0.011077 0.63057  -23.7914 -25.0727 -22.8090 11111.38 3240.820 NaN     
treeLikelihood.sharp                     -35.0811 0.011107 0.63768  -34.9895 -36.3673 -34.0230 10924.43 3296.281 NaN     
treeLikelihood.short                     -80.4652 0.017557 0.931997 -80.3605 -82.3158 -78.7212 12778.86 2817.934 NaN     
treeLikelihood.sing                      -47.8011 0.013516 0.760108 -47.7163 -49.3259 -46.5434 11385.82 3162.704 NaN     
treeLikelihood.sit                       -29.2400 0.013428 0.805807 -29.1047 -30.8650 -27.9858 10000    3601     NaN     
treeLikelihood.skin_of                   -26.2125 0.012945 0.776792 -26.0402 -27.6728 -24.9597 10000    3601     NaN     
treeLikelihood.sky                       -12.8572 0.011223 0.609066 -12.7339 -14.0406 -11.9175 12225.98 2945.364 NaN     
treeLikelihood.sleep                     -1.01535 0.019463 0.843166 -0.79799 -2.64266 -0.00554 19187.75 1876.718 NaN     
treeLikelihood.small                     -71.8896 0.021863 1.21609  -71.8419 -74.3828 -69.3572 11638.69 3093.989 NaN     
treeLikelihood.smell_tr                  -0.97418 0.016485 0.838012 -0.74242 -2.62901 -0.00591 13935.47 2584.052 NaN     
treeLikelihood.smoke                     -28.8096 0.011787 0.660466 -28.7315 -30.0265 -27.6966 11468.75 3139.834 NaN     
treeLikelihood.smooth                    -53.1283 0.018718 0.875369 -53.1176 -54.7773 -51.3007 16464.64 2187.110 NaN     
treeLikelihood.snake                     -29.2318 0.014605 0.749898 -29.1492 -30.6543 -27.8613 13659.35 2636.288 NaN     
treeLikelihood.some                      -30.0491 0.015529 0.880973 -30.0257 -31.6275 -28.3938 11189.39 3218.227 NaN     
treeLikelihood.spit                      -40.4940 0.011751 0.663958 -40.3724 -41.8253 -39.4327 11279.14 3192.619 NaN     
treeLikelihood.split                     -47.2324 0.014132 0.848026 -47.0431 -48.7521 -45.9309 10000    3601     NaN     
treeLikelihood.squeeze                   -41.5144 0.014893 0.851387 -41.4075 -43.2941 -40.1165 11019.16 3267.942 NaN     
treeLikelihood.stab_or                   -48.5064 0.012593 0.719122 -48.3888 -49.9461 -47.3508 11043.56 3260.722 NaN     
treeLikelihood.stand                     -0.94692 0.016644 0.837049 -0.70311 -2.52770 -0.00354 14237.09 2529.308 NaN     
treeLikelihood.star                      -27.6955 0.013771 0.786729 -27.6645 -29.2495 -26.2534 11032.49 3263.993 NaN     
treeLikelihood.stick_of                  -14.1165 0.011016 0.636229 -14.0235 -15.1910 -13.0568 10796.37 3335.377 NaN     
treeLikelihood.stone                     -79.3602 0.016404 0.842512 -79.2566 -80.9103 -77.7189 13651.73 2637.759 NaN     
