item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
treeLikelihood.split                        -46.6803 0.016628 0.963938 -46.5451 -48.6213 -45.0770 10714.98 3360.714 NaN     
treeLikelihood.squeeze                      -41.4992 0.017333 0.933913 -41.3598 -43.3820 -39.9517 12403.69 2903.167 NaN     
treeLikelihood.stab_or                      -48.3991 0.012652 0.75924  -48.2968 -49.8874 -47.0284 10000    3601     NaN     
treeLikelihood.stand                        -0.95650 0.017506 0.841703 -0.71751 -2.57012 -0.00537 15577.55 2311.658 NaN     
treeLikelihood.star                         -26.7723 0.019587 0.972303 -26.7137 -28.7140 -25.0172 14613.75 2464.116 NaN     
treeLikelihood.stick_of                     -13.9762 0.011227 0.625558 -13.8924 -15.1638 -12.9016 11599.46 3104.453 NaN     
treeLikelihood.stone                        -79.0656 0.01532  0.897966 -79.0093 -80.8822 -77.3429 10481.18 3435.680 NaN     
treeLikelihood.straight                     -50.2755 0.017905 0.994348 -50.2234 -52.2703 -48.4578 11676.65 3083.929 NaN     
treeLikelihood.suck                         -31.9316 0.013895 0.779354 -31.8471 -33.4273 -30.4639 11445.65 3146.173 NaN     
treeLikelihood.sun                          -30.5245 0.013465 0.781257 -30.4393 -31.9123 -29.0627 10697.07 3366.339 NaN     
treeLikelihood.swell                        -47.6318 0.014699 0.823035 -47.5621 -49.4039 -46.1879 11486.24 3135.054 NaN     
treeLikelihood.swim                         -56.2452 0.018441 1.053001 -56.1784 -58.3508 -54.3563 11044.64 3260.404 NaN     
treeLikelihood.tail                         -28.2162 0.014106 0.76155  -28.1573 -29.6916 -26.7895 12354.88 2914.636 NaN     
treeLikelihood.they                         -39.2571 0.025545 1.374936 -39.2558 -41.7042 -36.4623 12429.52 2897.133 NaN     
treeLikelihood.thick                        -53.1128 0.020315 1.140524 -53.0982 -55.2763 -50.7330 11425.24 3151.793 NaN     
treeLikelihood.thin                         -85.8726 0.028613 1.326415 -85.8915 -88.3898 -83.1217 16757.11 2148.937 NaN     
treeLikelihood.think                        -8.67551 0.009544 0.555017 -8.56971 -9.75081 -7.82524 10647.56 3381.994 NaN     
treeLikelihood.this                         -28.2985 0.014509 0.800046 -28.2325 -29.9682 -26.9026 11843.59 3040.463 NaN     
treeLikelihood.thou                         -1.04027 0.019399 0.874049 -0.80010 -2.67539 -0.00662 17738.67 2030.027 NaN     
treeLikelihood.throw                        -46.9021 0.025312 1.268805 -46.8347 -49.4494 -44.5466 14331.62 2512.624 NaN     
treeLikelihood.tie                          -10.9434 0.010344 0.576666 -10.8285 -12.0116 -10.0868 11587.10 3107.764 NaN     
treeLikelihood.tongue                       -1.00439 0.02127  0.856591 -0.76906 -2.62335 -0.00783 22202.96 1621.855 NaN     
treeLikelihood.tooth                        -22.2136 0.018949 0.912784 -22.0846 -24.0954 -20.7273 15518.71 2320.424 NaN     
treeLikelihood.tree                         -34.5895 0.019457 1.045322 -34.4721 -36.7221 -32.6485 12475.49 2886.458 NaN     
treeLikelihood.turn_intr                    -55.3220 0.014183 0.802574 -55.2474 -56.9302 -53.8923 11245.44 3202.185 NaN     
treeLikelihood.two                          -10.4364 0.012498 0.715184 -10.3111 -11.8327 -9.29189 10997.47 3274.388 NaN     
treeLikelihood.vomit                        -24.9003 0.010953 0.657268 -24.8424 -26.1221 -23.6241 10000    3601     NaN     
treeLikelihood.walk                         -39.1705 0.017918 1.037429 -39.0681 -41.2155 -37.2071 10741.74 3352.340 NaN     
treeLikelihood.warm_hot                     -45.1034 0.020727 0.942781 -44.9904 -46.9612 -43.3822 17405.69 2068.863 NaN     
treeLikelihood.wash                         -47.5264 0.018268 0.959236 -47.4574 -49.4383 -45.7717 13059.62 2757.352 NaN     
treeLikelihood.water                        -61.5326 0.021067 1.136614 -61.4581 -63.8395 -59.4229 12371.36 2910.753 NaN     
treeLikelihood.we                           -6.96520 0.010674 0.579744 -6.82480 -8.09535 -6.11293 12207.05 2949.933 NaN     
treeLikelihood.wet                          -27.1511 0.013029 0.710512 -27.0690 -28.4530 -25.8783 12108.45 2973.954 NaN     
treeLikelihood.what                         -17.6178 0.011174 0.652656 -17.5092 -18.9060 -16.5521 10554.60 3411.780 NaN     
treeLikelihood.when                         -25.2504 0.012219 0.635384 -25.1920 -26.4901 -24.1306 13317.18 2704.025 NaN     
treeLikelihood.where                        -61.8709 0.016442 0.888846 -61.7705 -63.6913 -60.2774 12321.60 2922.510 NaN     
treeLikelihood.white                        -27.7809 0.013782 0.797352 -27.7207 -29.2152 -26.3773 10759.12 3346.925 NaN     
treeLikelihood.who                          -9.0759  0.010458 0.567018 -8.98633 -10.1867 -8.17173 12250.59 2939.449 NaN     
treeLikelihood.wide                         -47.3171 0.018446 1.010874 -47.3149 -49.4470 -45.3685 11990.37 3003.241 NaN     
treeLikelihood.wife                         -31.4182 0.014701 0.837372 -31.3391 -33.0174 -29.9359 11099.54 3244.275 NaN     
treeLikelihood.wind                         -48.8286 0.014586 0.874739 -48.7808 -50.6065 -47.2012 10012.74 3596.415 NaN     
treeLikelihood.wing                         -21.9288 0.012739 0.721499 -21.8589 -23.3535 -20.6786 11226.73 3207.521 NaN     
treeLikelihood.wipe                         -57.9071 0.018386 1.005927 -57.8827 -59.8221 -56.0013 12029.45 2993.485 NaN     
treeLikelihood.woman                        -38.6731 0.014679 0.804783 -38.6112 -40.2342 -37.1240 11979.63 3005.935 NaN     
treeLikelihood.woods                        -13.6787 0.011121 0.609592 -13.6124 -14.8427 -12.6266 11984.39 3004.740 NaN     
treeLikelihood.worm_ie                      -1.05662 0.018197 0.905324 -0.80958 -2.68903 -0.00322 14548.29 2475.203 NaN     
treeLikelihood.ye_you                       -22.6536 0.017304 0.813049 -22.5866 -24.2111 -21.1192 16310.66 2207.757 NaN     
treeLikelihood.year                         -24.9072 0.013867 0.746122 -24.8548 -26.2407 -23.5066 12438.13 2895.128 NaN     
treeLikelihood.yellow                       -43.9659 0.021619 1.11586  -43.8097 -46.3303 -42.0268 13516.75 2664.101 NaN     
Tree.t:tree.height                          1485.711 8.977495 295.0188 1452.055 986.5633 2061.546 33345.24 1079.914 1458.173
Tree.t:tree.treeLength                      13122.94 60.67112 1746.722 12981.33 9797.239 16455.69 43444.93 828.8653 13008.97
mutationRate.s:I                            0.126413 0.00328  0.162029 0.067663 0.000181 0.445397 14757.58 2440.100 0.064383
mutationRate.s:all                          5.815306 0.075127 3.785187 4.805684 0.769416 13.26754 14185.39 2538.525 4.75086 
mutationRate.s:animal                       1.310884 0.020858 0.984552 0.952799 0.186112 3.280999 16161.17 2228.179 1.019161
mutationRate.s:ashes                        0.358467 0.007047 0.36096  0.229627 0.008421 1.083653 13726.12 2623.464 0.228417
mutationRate.s:back_of                      0.955316 0.011429 0.594029 0.804564 0.193868 2.182301 13330.03 2701.417 0.813523
mutationRate.s:bad                          1.807725 0.022315 1.103168 1.532012 0.391678 4.037738 14734.60 2443.907 1.550208
mutationRate.s:bark_of                      2.407627 0.024611 0.951647 2.230219 0.861679 4.287901 24083.45 1495.217 2.237123
mutationRate.s:belly                        2.203854 0.02372  1.229354 1.899781 0.526049 4.652348 13405.49 2686.211 1.935894
mutationRate.s:big                          1.067251 0.016527 0.849678 0.790201 0.159001 2.837019 13624.02 2643.124 0.828788
mutationRate.s:bird                         2.713409 0.03626  1.826906 2.127865 0.537202 6.451306 14185.20 2538.560 2.240859
mutationRate.s:bite                         1.433971 0.017765 0.967703 1.131569 0.229628 3.397747 12135.84 2967.243 1.169294
mutationRate.s:black                        3.580102 0.038535 1.974101 3.166819 0.737772 7.417022 13721.38 2624.370 3.073391
mutationRate.s:blood                        0.126738 0.003633 0.168218 0.068536 0.000397 0.442989 16793.92 2144.227 0.063463
mutationRate.s:blow                         0.864745 0.013246 0.703745 0.628923 0.075654 2.276189 12758.09 2822.520 0.635567
mutationRate.s:bone                         0.581395 0.008305 0.422817 0.48061  0.023225 1.403614 13894.62 2591.650 0.437208
mutationRate.s:breathe                      2.800958 0.03845  1.679247 2.472005 0.397957 5.8947   18879.67 1907.342 2.334697
mutationRate.s:burn_tr                      2.647059 0.032659 1.653868 2.403972 0.382338 5.777458 14041.55 2564.531 2.132355
mutationRate.s:child                        0.728267 0.01181  0.620493 0.510015 0.060801 1.979276 13044.65 2760.518 0.510973
mutationRate.s:cloud                        1.330376 0.019277 1.024942 0.985476 0.174741 3.421099 12738.22 2826.924 1.01046 
mutationRate.s:cold                         1.179692 0.013147 0.67196  1.091962 0.142204 2.435022 13783.63 2612.518 0.981322
mutationRate.s:come                         0.456938 0.007499 0.390102 0.337313 0.017071 1.235053 13308.39 2705.811 0.320527
mutationRate.s:count                        3.799778 0.055314 2.709068 3.18417  0.31206  9.135312 15012.76 2398.626 2.927468
mutationRate.s:cut                          1.556129 0.025054 1.244433 1.023718 0.245977 4.150725 14596.05 2467.104 1.186959
mutationRate.s:day                          2.731019 0.036373 1.795911 2.199835 0.499168 6.287116 14771.12 2437.865 2.297086
