ID	STRUCTURE	FREQUENCY	Amawaka	Arara	Chakobo	Chaninawa	Iskonawa	Kakataibo	Kanamari	Kapanawa	Kashinawa_B	Kashinawa_P	Katukina	Kaxarari	Marinawa	Marubo	Mastanawa	Matis	Matses	Nawa	Nukini	Pakawara	Poyanawa	Shanenawa	Sharanawa	Shipibo_Konibo	Yaminawa	Yawanawa	COGNATESETS	CONCEPTS
192-1	V	1	ɨ	Ø	a	ɨ	a	Ø	Ø	ɨ	Ø	ɨ	Ø	Ø	i	Ø	i	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	ɨ	ɨ	a	a	1005:1	sew
202-1	V	1	ɨ	Ø	ɨ	a	ɨ	ɨ	Ø	ɨ	Ø	ɨ	i	i	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	Ø	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	1087:1	smell [tr. v.]
220-1	V	1	ɨ	Ø	ɨ	ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	ɨ	Ø	Ø	ɨ	a	1206:4	straight
232-1	V	1	ɨ	ɨ	ɨ	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	i	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	i	ɨ	Ø	ɨ	Ø	ɨ	Ø	ɨ	1308:1	tooth [front]
238-1	V	1	ɨ	Ø	ɨ	ɨ	ɨ	ɨ	Ø	ɨ	Ø	ɨ	i	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	Ø	Ø	ɨ	i	ɨ	ɨ	ɨ	Ø	1323:1	tie [verb]
247-1	V	1	ɨ	Ø	ɨ	ɨ	ɨ	Ø	Ø	a	a	a	Ø	ã	a	ɨ	a	a	Ø	a	Ø	Ø	Ø	ɨ	a	ɨ	a	ɨ	1412:2	what [interr.]
204-1	V	1	ũ	u	u	u	ũ	u	o	u	u	u	u	u	u	u	u	u	Ø	ũ	Ø	u	ũ	u	u	u	ũ	a	1092:1	smoke [noun]
205-1	V	1	ĩ	ĩ	i	i	ĩ	i	i	i	ĩ	ɨ	i	a	i	i	i	i	Ø	ĩ	Ø	i	ĩ	i	i	i	i	ɨ	1092:2	smoke [noun]
22-7	V	7	Ø	a	a	i	ɨ	a	Ø	i	i	i	a	Ø	i	i	ɨ	i	Ø	i	i	Ø	Ø	i	i	i	ɨ	ɨ	6:5, 64:2, 98:0, 662:3, 696:0, 1149:4, 1267:0	all / big / black / laugh / live / squeeze / thick
32-4	V	4	Ø	i	i	i	i	a	Ø	a	a	i	a	a	i	i	i	e	e	i	i	Ø	i	i	i	a	i	Ø	30:3, 171:2, 903:3, 981:0	back [of body] / cold [weather] / red / say
101-3	V	3	Ø	Ø	Ø	Ø	i	i	Ø	a	Ø	Ø	Ø	Ø	Ø	a	ĩ	Ø	Ø	ĩ	Ø	Ø	ɨ	ĩ	Ø	a	i	Ø	466:2, 1043:3, 1137:4	fog / sing / spit [verb]
180-3	V	3	Ø	Ø	i	i	Ø	Ø	Ø	i	ɨ	i	Ø	Ø	ɨ	i	ɨ	i	Ø	ɨ	Ø	Ø	i	Ø	i	i	ɨ	ɨ	927:1, 1129:1, 1277:0	rope (cord) / spit [verb] / thin
76-2	V	2	Ø	ĩ	Ø	uː	Ø	Ø	Ø	Ø	u	u	u	Ø	u	u	u	u	Ø	u	Ø	Ø	Ø	Ø	u	Ø	u	u	328:1, 1098:3	egg / smooth
100-2	V	2	Ø	u	Ø	a	u	a	Ø	Ø	u	u	Ø	Ø	u	Ø	ũ	Ø	Ø	u	Ø	Ø	u	u	Ø	Ø	ũ	Ø	466:1, 555:1	fog / head
115-2	V	2	Ø	a	Ø	i	a	a	Ø	Ø	a	a	Ø	-	a	Ø	a	Ø	Ø	Ø	Ø	Ø	a	Ø	-	Ø	Ø	Ø	555:4, 1207:5	head / straight
245-2	V	2	Ø	ɨ	u	a	a	a	Ø	Ø	Ø	a	a	Ø	a	a	a	Ø	Ø	a	Ø	Ø	i	a	a	Ø	a	a	1384:3, 1569:3	mouth / wash
74-1	V	1	Ø	i	i	iː	i	i	Ø	i	i	i	i	i	i	i	i	e	e	i	i	i	i	i	i	i	i	i	322:1	eat
106-1	V	1	Ø	Ø	Ø	u	o	Ø	Ø	Ø	Ø	Ø	a	Ø	u	Ø	u	Ø	Ø	Ø	u	Ø	Ø	u	u	Ø	u	u	530:1	green [color]
152-1	V	1	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	i	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	i	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	810:1	neck
154-1	V	1	Ø	u	u	o	u	a	u	u	u	u	u	i	u	u	u	u	i	u	ɨ	a	u	u	u	u	u	u	810:3	neck
165-1	V	1	Ø	i	ɨ	ɨ	i	Ø	ɨ	ɨ	ɨ	ɨ	e	ɨ	ɨ	ɨ	ɨ	Ø	Ø	ɨ	Ø	i	Ø	i	ɨ	ɨ	i	ɨ	843:1	one
167-1	V	1	Ø	i	i	i	ɨ	Ø	e	i	i	i	i	i	i	i	i	Ø	Ø	i	Ø	i	Ø	i	i	i	i	i	843:4	one
175-1	V	1	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	u	Ø	Ø	i	Ø	Ø	Ø	ɨ	i	Ø	ɨ	i	883:3	push
179-1	V	1	Ø	u	u	u	ũ	u	Ø	u	Ø	Ø	Ø	Ø	u	u	Ø	Ø	u	u	Ø	u	Ø	u	Ø	u	u	u	918:3	root
187-1	V	1	Ø	ũ	Ø	u	u	Ø	Ø	Ø	u	u	u	Ø	u	u	u	Ø	Ø	ũ	Ø	Ø	Ø	u	ũ	u	u	u	997:0	see
197-1	V	1	Ø	-	i	i	i	Ø	Ø	i	i	i	i	i	i	Ø	i	i	i	i	i	i	Ø	i	i	i	i	i	1063:3	skin [of person]
210-1	V	1	Ø	Ø	i	a	Ø	Ø	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	a	Ø	i	Ø	1118:4	some
212-1	V	1	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	ɨ	Ø	Ø	-	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	1150:3	squeeze
221-1	V	1	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	j	Ø	Ø	j	Ø	Ø	Ø	Ø	Ø	Ø	Ø	j	Ø	Ø	Ø	1207:2	straight
248-1	V	1	Ø	ũ	Ø	ɨ	Ø	Ø	Ø	a	a	a	Ø	a	ɨ	a	ɨ	Ø	Ø	ɨ	Ø	Ø	Ø	a	ɨ	a	a	a	1420:0	when [interr.]
250-1	V	1	Ø	i	Ø	i	Ø	Ø	Ø	ɨ	i	i	Ø	ɨ	i	ɨ	i	Ø	Ø	-	Ø	Ø	Ø	i	i	ɨ	ɨ	ɨ	1420:2	when [interr.]
254-1	V	1	Ø	ĩ	Ø	Ø	i	u	Ø	Ø	i	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	1429:2	where [interr.]
266-1	V	1	Ø	u	Ø	u	ĩ	Ø	o	i	u	u	u	Ø	u	i	u	Ø	Ø	u	u	Ø	ĩ	i	Ø	i	Ø	i	1504:2	woman
273-1	V	1	Ø	ã	i	Ø	a	a	Ø	a	a	a	a	i	Ø	Ø	Ø	i	Ø	Ø	ã	Ø	a	a	Ø	a	Ø	a	1531:1	yellow
279-1	V	1	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	i	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	1613:5	swell
